Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0603,3,1u,C59302
"C10, C3, C5, C8, C9",0603,5,100n,C235731
"C6, C7",0603,2,47p,C1671
J1,IDC-Header_2x06_P2.54mm_Vertical,1,IO,C109410
LED1,0603,1,Red,C52675987
"LED10, LED11, LED12, LED13, LED14, LED15, LED4, LED5, LED6, LED7, LED8, LED9",0805,12,SZYY0805W,C434434
LED2,0603,1,Amber,C165983
LED3,0603,1,Green,C51933293
"Q1, Q2",SOT-323_SC-70,2,BC817-40W,C383187
"R1, R2",0603,2,5.1k,C2907114
"R10, R11, R12, R13",0603,4,27,C2907136
"R3, R4",0603,2,33,C2907154
"R5, R6, R7, R8, R9",0603,5,1K,C2907002
SW1,SW-TH_EC11E18244A5,1,EC11E18244A5,C255515
U1,WQFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,1,PY32F002AW15U,C5291740
U2,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,HT42B534-2,C493294
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,ME6211C33M5G-N,C82942
USB1,USB-TH_JS16H-TYPE-C449-H105-1,1,JS16H-TYPE-C449-H105,C49118459
