Designator,Mid X,Mid Y,Rotation,Layer
C1,140.60367,-116.687424,90.0,top
C10,134.8625,-109.56,0.0,top
C2,137.60367,-119.049924,0.0,top
C3,128.5,-106.56,270.0,top
C4,169.2089,-99.433,0.0,top
C5,165.4964,-103.983,270.0,top
C6,172.6339,-102.233,90.0,top
C7,172.6339,-105.733,270.0,top
C8,134.8625,-99.06,0.0,top
C9,128.1375,-99.06,180.0,top
H1,117.5,-91.0,0.0,top
H2,179.5,-91.0,0.0,top
H3,179.5,-118.0,0.0,top
H4,117.5,-118.0,0.0,top
J1,154.3825,-102.5,180.0,top
J2,131.5,-114.81,0.0,top
JP1,168.3,-97.1,180.0,top
LED1,170.2,-118.0,0.0,bottom
LED10,131.5,-92.0,0.0,bottom
LED11,125.25,-93.674682,330.0,bottom
LED12,120.674682,-98.25,300.0,bottom
LED13,119.0,-104.5,270.0,bottom
LED14,120.674682,-110.75,240.0,bottom
LED15,125.25,-115.325317,210.0,bottom
LED2,162.2,-118.0,0.0,bottom
LED3,154.2,-118.0,0.0,bottom
LED4,131.5,-117.0,180.0,bottom
LED5,137.75,-115.325317,150.0,bottom
LED6,142.325317,-110.75,120.0,bottom
LED7,144.0,-104.5,90.0,bottom
LED8,142.325317,-98.25,60.0,bottom
LED9,137.75,-93.674682,30.0,bottom
OLED1,162.0064,-88.883,0.0,bottom
Q1,164.8,-118.0,180.0,top
Q2,156.8,-118.0,180.0,top
R1,179.5,-99.0,0.0,top
R10,125.2,-98.1125,270.0,top
R11,123.7,-98.1125,270.0,top
R12,124.4,-100.8,0.0,top
R13,126.275,-109.0,0.0,top
R2,179.5,-109.0,180.0,top
R3,175.1339,-103.233,0.0,top
R4,175.1339,-104.733,0.0,top
R5,168.5,-118.0,0.0,top
R6,160.5,-118.0,0.0,top
R7,163.4,-116.0,180.0,top
R8,152.5,-118.0,0.0,top
R9,155.9,-116.0,180.0,top
SW1,131.500127,-104.227969,180.0,bottom
U1,131.5,-104.5,90.0,top
U2,168.9964,-103.983,270.0,top
U3,137.85367,-116.599962,270.0,top
USB1,179.5,-104.0,90.0,bottom
